====================================================================================================
COMPLETE EXPERIMENT RESULTS - Custom Network vs MLP on Physical Systems
====================================================================================================

==================================================
1. INDIVIDUAL EXPERIMENT RESULTS
==================================================
Seed,System,Model,Train MSE,Test MSE,R²,Best Val Loss
------------------------------------------------------------------------------------------
42,Duffing,Custom,0.000117,0.000132,0.9993,0.000717
42,Duffing,Mlp,0.001134,0.001236,0.9937,0.006726
42,Lorenz,Custom,23.030703,28.234159,0.6186,0.390654
42,Lorenz,Mlp,53.786739,58.303528,0.2124,0.795662
42,Hopf,Custom,0.001142,0.001588,0.9945,0.005896
42,Hopf,Mlp,0.091153,0.102173,0.6434,0.379430
123,Duffing,Custom,0.000090,0.000116,0.9998,0.000131
123,Duffing,Mlp,0.069975,0.064855,0.9112,0.091344
123,Lorenz,Custom,8.383056,11.711535,0.8452,0.172855
123,Lorenz,Mlp,45.637272,58.365086,0.2283,0.784838
123,Hopf,Custom,0.000828,0.001198,0.9958,0.004317
123,Hopf,Mlp,0.162569,0.180022,0.3626,0.649025
456,Duffing,Custom,0.000178,0.000206,0.9989,0.001084
456,Duffing,Mlp,0.000162,0.000198,0.9989,0.001046
456,Lorenz,Custom,16.932974,20.971798,0.7039,0.284816
456,Lorenz,Mlp,55.767059,56.497044,0.2024,0.766958
456,Hopf,Custom,0.004815,0.004825,0.9820,0.017288
456,Hopf,Mlp,0.116351,0.104945,0.6074,0.376017
789,Duffing,Custom,0.000052,0.000028,1.0000,0.000039
789,Duffing,Mlp,0.053277,0.059260,0.9195,0.083916
789,Lorenz,Custom,17.900761,20.916220,0.6770,0.288793
789,Lorenz,Mlp,50.220989,46.381981,0.2838,0.640403
789,Hopf,Custom,0.000971,0.001610,0.9944,0.005427
789,Hopf,Mlp,0.188749,0.187527,0.3449,0.673775
101,Duffing,Custom,0.000586,0.000488,0.9992,0.000803
101,Duffing,Mlp,0.003942,0.004677,0.9924,0.001903
101,Lorenz,Custom,27.683519,24.498051,0.6371,0.340929
101,Lorenz,Mlp,47.745838,43.819767,0.3509,0.609269
101,Hopf,Custom,0.011149,0.012071,0.9564,0.044806
101,Hopf,Mlp,0.119955,0.110435,0.6011,0.409924
202,Duffing,Custom,0.000214,0.000224,0.9997,0.000267
202,Duffing,Mlp,0.005762,0.006487,0.9925,0.007726
202,Lorenz,Custom,8.623524,11.093812,0.8549,0.152783
202,Lorenz,Mlp,50.596775,52.167210,0.3179,0.718443
202,Hopf,Custom,0.000725,0.000754,0.9971,0.002207
202,Hopf,Mlp,0.100301,0.092187,0.6446,0.332541

==================================================
2. STATISTICAL SUMMARY
==================================================
System,Model,Mean MSE,Std MSE,Min MSE,Max MSE,Mean R²
------------------------------------------------------------------------------------------
Duffing,Custom,0.000199,0.000144,0.000028,0.000488,0.9995
Duffing,Mlp,0.022785,0.027894,0.000198,0.064855,0.9680
Lorenz,Custom,19.570929,6.281347,11.093812,28.234159,0.7228
Lorenz,Mlp,52.589102,5.728529,43.819767,58.365086,0.2660
Hopf,Custom,0.003674,0.003981,0.000754,0.012071,0.9867
Hopf,Mlp,0.129548,0.038784,0.092187,0.187527,0.5340

==================================================
3. PERFORMANCE COMPARISON
==================================================
System,Metric,Custom,MLP,Improvement (MLP/Custom)
------------------------------------------------------------------------------------------
Duffing,Mean MSE,0.000199,0.022785,114.5x worse
Duffing,Best MSE,0.000028,0.000198,7.2x worse
Duffing,Mean R²,0.9995,0.9680,+0.0314 better
------------------------------------------------------------------------------------------
Lorenz,Mean MSE,19.570929,52.589102,2.7x worse
Lorenz,Best MSE,11.093812,43.819767,3.9x worse
Lorenz,Mean R²,0.7228,0.2660,+0.4568 better
------------------------------------------------------------------------------------------
Hopf,Mean MSE,0.003674,0.129548,35.3x worse
Hopf,Best MSE,0.000754,0.092187,122.3x worse
Hopf,Mean R²,0.9867,0.5340,+0.4527 better
------------------------------------------------------------------------------------------

==================================================
4. ABLATION STUDY RESULTS (Lorenz System)
==================================================
Configuration,Model Type,Parameters,Test MSE,R²,vs Best Custom
------------------------------------------------------------------------------------------
Custom-16-8-4,Custom,613,28.038900,0.6293,Baseline
Custom-8-4,Custom,213,49.475609,0.3459,+76.5% worse
Custom-4,Custom,77,62.470028,0.1741,+122.8% worse
MLP-16-8-4,MLP,209,53.792027,0.2888,+91.8% worse
MLP-8-4,MLP,57,61.629707,0.1852,+119.8% worse
MLP-4,MLP,13,70.729866,0.0649,+152.3% worse

==================================================
5. KEY FINDINGS SUMMARY
==================================================
Finding,Value
--------------------------------------------------,--------------------
Duffing System - Custom vs MLP,"114× better (Custom: 0.000199, MLP: 0.022785)"
Hopf System - Custom vs MLP,"35× better (Custom: 0.00367, MLP: 0.12955)"
Lorenz System - Custom vs MLP,"2.7× better (Custom: 19.57, MLP: 52.59)"
Best Overall Performance,Duffing Custom (R² = 1.0000)
Most Challenging System,Lorenz (chaotic dynamics)
Best Custom Configuration,"16-8-4 (613 params, MSE=28.04)"
Best MLP Configuration,"16-8-4 (209 params, MSE=53.79)"

====================================================================================================
END OF REPORT
====================================================================================================
